Ім'я: Олена, Прізвище: Шевченко, Email: olena.shevchenko@gmail.com, Номер будинку: B1, Номер квартири: 101, Площа квартири: 34,80, Адреса будинку: Vyshneva, 1
Ім'я: Наталія, Прізвище: Павлова, Email: nataliya.pavlova@gmail.com, Номер будинку: B1, Номер квартири: 102, Площа квартири: 40,00, Адреса будинку: Vyshneva, 1
Ім'я: Zorina, Прізвище: Denisova, Email: andriy.lysenko@gmail.com, Номер будинку: B1, Номер квартири: 103, Площа квартири: 20,00, Адреса будинку: Vyshneva, 1
Ім'я: Nelly, Прізвище: Kravets, Email: andriy.morozov@gmail.com, Номер будинку: B2, Номер квартири: 107, Площа квартири: 88,00, Адреса будинку: Vyshneva, 2
Ім'я: Катерина, Прізвище: Петренко, Email: katerina.petrenko@gmail.com, Номер будинку: B3, Номер квартири: 111, Площа квартири: 37,00, Адреса будинку: Vyshneva, 3
Ім'я: Ірина, Прізвище: Кривенко, Email: irina.krivenko@gmail.com, Номер будинку: B4, Номер квартири: 112, Площа квартири: 88,00, Адреса будинку: Vyshneva, 4
Ім'я: Людмила, Прізвище: Савченко, Email: lyudmyla.savchenko@gmail.com, Номер будинку: B4, Номер квартири: 113, Площа квартири: 66,00, Адреса будинку: Vyshneva, 4
Ім'я: Олексій, Прізвище: Мартиненко, Email: oleksiy.martynenko@gmail.com, Номер будинку: B4, Номер квартири: 114, Площа квартири: 40,00, Адреса будинку: Vyshneva, 4
Ім'я: Марина, Прізвище: Даниленко, Email: marina.danilenko@gmail.com, Номер будинку: B4, Номер квартири: 115, Площа квартири: 35,90, Адреса будинку: Vyshneva, 4
Ім'я: Андрій, Прізвище: Рябченко, Email: andriy.ryabchenko@gmail.com, Номер будинку: B5, Номер квартири: 117, Площа квартири: 34,00, Адреса будинку: Vyshneva, 5
Ім'я: Наталія, Прізвище: Тарасенко, Email: nataliya.tarasenko@gmail.com, Номер будинку: B5, Номер квартири: 118, Площа квартири: 37,00, Адреса будинку: Vyshneva, 5
Ім'я: Ігор, Прізвище: Бондар, Email: igor.bondar@gmail.com, Номер будинку: B5, Номер квартири: 119, Площа квартири: 75,00, Адреса будинку: Vyshneva, 5
Ім'я: Оксана, Прізвище: Гордієнко, Email: oksana.gordiyenko@gmail.com, Номер будинку: B5, Номер квартири: 120, Площа квартири: 98,00, Адреса будинку: Vyshneva, 5
Ім'я: Віктор, Прізвище: Карпенко, Email: victor.karpenko@gmail.com, Номер будинку: B6, Номер квартири: 121, Площа квартири: 67,00, Адреса будинку: Vyshneva, 6
Ім'я: Тетяна, Прізвище: Лисенко, Email: tetiana.lysenko@gmail.com, Номер будинку: B6, Номер квартири: 122, Площа квартири: 57,00, Адреса будинку: Vyshneva, 6
Ім'я: Ірина, Прізвище: Мельничук, Email: irina.melnychuk@gmail.com, Номер будинку: B7, Номер квартири: 124, Площа квартири: 53,00, Адреса будинку: Vyshneva, 7
Ім'я: Андрій, Прізвище: Савченко, Email: andriy.savchenko@gmail.com, Номер будинку: B7, Номер квартири: 125, Площа квартири: 44,00, Адреса будинку: Vyshneva, 7
Ім'я: Олександр, Прізвище: Коваленко, Email: oleksandr.kovalenko@gmail.com, Номер будинку: B7, Номер квартири: 126, Площа квартири: 12,00, Адреса будинку: Vyshneva, 7
Ім'я: Михайло, Прізвище: Захарченко, Email: mikhailo.zakharchenko@gmail.com, Номер будинку: B8, Номер квартири: 128, Площа квартири: 567,00, Адреса будинку: Vyshneva, 8
Ім'я: Марія, Прізвище: Сидоренко, Email: maria.sydorenko@gmail.com, Номер будинку: B9, Номер квартири: 130, Площа квартири: 89,70, Адреса будинку: Vyshneva, 9
Ім'я: Наталія, Прізвище: Денисенко, Email: nataliya.denisenko@gmail.com, Номер будинку: B9, Номер квартири: 131, Площа квартири: 94,00, Адреса будинку: Vyshneva, 9
Ім'я: Ірина, Прізвище: Григоренко, Email: irina.grigorenko@gmail.com, Номер будинку: B9, Номер квартири: 132, Площа квартири: 101,00, Адреса будинку: Vyshneva, 9
Ім'я: Артем, Прізвище: Шаповал, Email: artem.shapoval@gmail.com, Номер будинку: B9, Номер квартири: 133, Площа квартири: 23,00, Адреса будинку: Vyshneva, 9
Ім'я: Юлія, Прізвище: Козачук, Email: yulia.kozachuk@gmail.com, Номер будинку: B10, Номер квартири: 134, Площа квартири: 45,00, Адреса будинку: Vyshneva, 10
Ім'я: Сергій, Прізвище: Марченко, Email: sergiy.marchenko@gmail.com, Номер будинку: B10, Номер квартири: 136, Площа квартири: 35,00, Адреса будинку: Vyshneva, 10
